Handedness,height,weight,avg,Home Runs,Players
Right,73,170,0,0,1
Right,73,182,0.13,4,2
Left,71,175,0.263,27,3
Left,69,175,0.25,16,4
Right,70,150,0.275,138,5
Right,74,205,0.193,28,6
Both,72,185,0.159,2,7
Right,72,200,0.25,10,8
Right,73,180,0.241,6,9
Right,74,195,0,0,10
Left,73,185,0,0,11
Right,75,195,0,0,12
Right,69,170,0.256,7,13
Left,71,185,0.241,6,14
Left,73,175,0,0,15
Right,73,180,0.195,15,16
Left,74,200,0.248,414,17
Right,70,190,0.225,58,18
Right,72,190,0.262,86,19
Left,72,183,0.246,75,20
Both,75,185,0,0,21
Right,73,190,0,0,22
Left,77,215,0,0,23
Right,73,175,0.286,91,24
Both,71,192,0.303,160,25
Right,72,195,0.223,28,26
Right,71,180,0.225,9,27
Right,72,170,0.231,6,28
Right,74,215,0.224,63,29
Right,72,176,0.244,8,30
Both,74,193,0,0,31
Right,74,190,0.226,12,32
Right,69,170,0.277,5,33
Right,75,192,0.252,159,34
Right,76,195,0.111,0,35
Right,71,185,0.22,22,36
Right,71,175,0.254,21,37
Right,74,197,0.138,1,38
Right,73,185,0,0,39
Left,73,190,0.253,108,40
Right,76,215,0.136,4,41
Right,74,200,0.241,3,42
Right,75,190,0.183,1,43
Left,75,195,0,0,44
Right,74,185,0,0,45
Right,78,210,0.236,442,46
Right,71,187,0.264,102,47
Left,77,220,0,0,48
Right,72,170,0.224,60,49
Left,71,175,0.239,61,50
Left,74,180,0.259,7,51
Right,76,200,0,0,52
Right,75,210,0,0,53
Right,70,180,0.219,17,54
Left,72,190,0,0,55
Left,72,180,0.248,9,56
Right,76,185,0,0,57
Right,73,195,0,0,58
Left,75,195,0.262,5,59
Left,70,165,0.274,9,60
Right,71,185,0.255,87,61
Both,69,172,0.266,36,62
Right,76,205,0,0,63
Left,72,205,0.255,63,64
Right,72,180,0.236,27,65
Left,75,200,0,0,66
Right,73,185,0.23,24,67
Left,73,195,0.279,185,68
Left,73,185,0.225,21,69
Right,74,200,0.266,144,70
Right,71,157,0.217,6,71
Right,78,217,0,0,72
Right,69,155,0.278,46,73
Both,73,170,0.11,0,74
Both,74,180,0,0,75
Right,72,175,0.211,9,76
Right,70,185,0.269,77,77
Left,79,228,0.256,41,78
Right,70,190,0.271,66,79
Right,76,223,0,0,80
Right,74,190,0.236,30,81
Right,72,175,0.216,18,82
Right,66,165,0.27,33,83
Right,74,205,0.119,2,84
Right,72,175,0.233,20,85
Right,72,190,0.252,50,86
Right,71,180,0.261,18,87
Left,74,180,0.252,37,88
Right,73,175,0.257,78,89
Left,73,160,0,0,90
Right,69,160,0.232,4,91
Both,70,175,0.212,35,92
Right,72,185,0.26,46,93
Right,70,160,0.233,47,94
Right,72,165,0.18,4,95
Left,75,192,0,0,96
Left,74,195,0,0,97
Both,72,170,0.243,0,98
Left,74,185,0.263,10,99
Both,76,210,0.282,246,100
Right,71,165,0.255,160,101
Left,70,190,0.235,7,102
Right,72,175,0,0,103
Right,70,165,0.246,71,104
Left,73,180,0.249,61,105
Right,73,180,0,0,106
Right,76,190,0,0,107
Right,76,172,0,0,108
Right,72,170,0.251,78,109
Both,72,164,0.249,17,110
Right,71,165,0.175,15,111
Right,77,210,0,0,112
Left,69,175,0.283,67,113
Both,71,180,0.21,5,114
Left,71,170,0.293,149,115
Right,70,160,0,0,116
Both,72,185,0.216,4,117
Right,76,210,0,0,118
Right,70,175,0.229,16,119
Both,71,175,0.272,32,120
Right,71,180,0.238,39,121
Right,72,175,0.251,210,122
Left,73,189,0.227,22,123
Right,76,176,0.207,15,124
Left,72,170,0.248,31,125
Right,75,190,0.248,156,126
Both,73,185,0,0,127
Right,74,205,0.216,20,128
Right,79,230,0,0,129
Right,68,155,0.248,16,130
Both,69,160,0.242,3,131
Both,73,170,0.24,2,132
Left,73,197,0.268,86,133
Right,71,188,0,0,134
Right,72,185,0.242,18,135
Left,78,215,0,0,136
Left,72,175,0.277,11,137
Right,72,150,0,0,138
Left,73,198,0.223,65,139
Left,71,175,0.255,9,140
Both,73,195,0.229,21,141
Right,75,205,0,0,142
Right,77,205,0,0,143
Left,75,180,0,0,144
Right,73,185,0.251,38,145
Right,76,195,0,0,146
Left,70,160,0.287,7,147
Left,75,220,0,0,148
Right,72,190,0.227,8,149
Left,70,165,0.245,30,150
Left,70,170,0.273,30,151
Left,71,173,0.253,42,152
Right,73,180,0.244,18,153
Right,72,180,0.212,2,154
Left,73,175,0.304,220,155
Right,75,190,0.256,91,156
Right,70,160,0.263,54,157
Right,71,170,0.195,6,158
Right,76,190,0,0,159
Right,73,185,0.27,121,160
Both,70,175,0,0,161
Right,69,196,0.243,44,162
Right,73,180,0.243,98,163
Left,71,188,0.25,14,164
Left,72,175,0,0,165
Left,72,170,0.24,11,166
Right,72,190,0.277,342,167
Left,73,175,0.267,102,168
Right,71,185,0.278,170,169
Right,75,205,0.223,34,170
Left,72,185,0,0,171
Right,75,175,0,0,172
